"x"
"-18.9035 20.84381667"
"-18.89391667 20.8655"
"-18.8985 20.86818333"
"-18.91013333 20.86668333"
"-18.89631667 20.86948333"
"-18.89611667 20.8699"
"-19.00938333 20.91518333"
"-19.0075 20.9134"
"-18.8976 20.8696"
"-18.9509 20.77801667"
"-18.95083333 20.7775"
"-18.95011667 20.77503333"
"-19.0088 20.91281667"
"-18.9043666700001 20.83763333"
"-18.89795 20.86546667"
"-18.89745 20.86656667"
"-18.89833333 20.86686667"
"-18.89805 20.86716667"
"-18.89986667 20.86708333"
"-18.89938333 20.8676"
"-18.89585 20.87003333"
"-18.95118333 20.77896667"
"-18.9561 20.71295"
"-18.95345 20.71471667"
"-18.95515 20.71375"
"-18.95435 20.71355"
"-18.9564 20.71331667"
"-18.95616667 20.70858333"
"-18.95241667 20.71343333"
"-18.95695 20.70965"
"-18.95036667 20.7753"
"-18.95048333 20.77245"
"-18.95591667 20.71325"
"-18.95613333 20.71283333"
"-18.9502 20.77431667"
"-18.95525 20.71593333"
"-18.95608333 20.71216667"
"-18.89986667 20.86598333"
"-18.89821667 20.86736667"
"-19.05428333 20.71468333"
"-19.05276667 20.71575"
"-19.05441667 20.71428333"
"-18.89611667 20.86998333"
"-18.90843333 20.8678"
"-18.59593333 20.84313333"
"-18.72091667 20.86081667"
"-18.59646667 20.8428"
"-18.72135 20.86108333"
"-18.60516667 20.85593333"
"-18.59583333 20.843"
"-18.59588333 20.84306667"
"-18.7247 20.86666667"
"-18.72326667 20.85938333"
"-18.72118333 20.86135"
"-18.71956667 20.86631667"
"-18.72078333 20.8608"
"-18.72091667 20.8607833300001"
"-18.72061667 20.86933333"
"-18.72096667 20.86083333"
"-18.72373333 20.86191667"
"-18.89566667 20.87005"
"-18.89281667 20.8700166699999"
"-18.72093333 20.8609"
"-18.72618333 20.86795"
"-18.5962 20.84298333"
"-18.60118333 20.86113333"
"-18.60233333 20.86693333"
"-18.72105 20.86696667"
"-18.72095 20.86088333"
"-18.72178333 20.86031667"
"-18.89566667 20.87021667"
"-18.72286667 20.86766667"
"-18.72141667 20.86965"
"-18.72246667 20.86216667"
"-18.7213 20.86558333"
"-18.60046667 20.84918333"
"-18.60466667 20.85453333"
"-18.72141667 20.86416667"
"-18.721 20.86075"
"-18.72181667 20.8628"
"-18.72078333 20.86083333"
"-18.7222 20.8618"
"-18.7253 20.86431667"
"-18.7263 20.86623333"
"-18.72473333 20.86743333"
"-18.721 20.86076667"
"-18.47581667 20.83536667"
"-18.47981667 20.83498333"
"-18.85071667 20.78553333"
"-18.85511667 20.78933333"
"-18.867 20.80571667"
"-18.86845 20.80978333"
"-18.90053333 20.83713333"
"-18.90318333 20.84023333"
"-18.9022 20.84348333"
"-18.905 20.84126667"
"-18.89448333 20.86971667"
"-18.90018333 20.86955"
"-18.93091667 20.85951667"
"-18.90485 20.84208333"
"-18.9035 20.83966667"
"-18.90296667 20.83988333"
"-18.9052 20.83676667"
"-18.9059 20.84303333"
"-18.90138333 20.84286667"
"-18.90163333 20.84383333"
"-18.90355 20.84023333"
"-18.76148333 20.8119"
"-18.76578333 20.81315"
"-18.896 20.87375"
"-18.90153333 20.8693"
"-18.90016667 20.84138333"
"-19.00988333 20.91545"
"-19.0092 20.91528333"
"-19.00906667 20.91381667"
"-19.0076 20.9151"
"-18.90971667 20.8681"
"-18.9026 20.84195"
"-18.95138333 20.77815"
"-18.94806667 20.77561667"
"-18.9014 20.83595"
"-18.89373333 20.86978333"
"-18.58856667 20.84398333"
"-18.59503333 20.8472"
"-18.59586667 20.85056667"
"-18.58625 20.84341667"
"-18.596 20.84481667"
"-18.59413333 20.84478333"
"-18.59065 20.85058333"
"-18.48068333 20.836"
"-18.4787 20.84253333"
"-18.47851667 20.84163333"
"-18.47843333 20.83918333"
"-18.4797 20.83645"
"-18.47873333 20.83576667"
"-18.47973333 20.84306667"
"-18.48043333 20.83738333"
"-18.4806 20.83565"
"-18.48036667 20.83468333"
"-18.48053333 20.83528333"
"-18.47976667 20.84431667"
"-18.47896667 20.84038333"
"-18.4805 20.84246667"
"-18.47401667 20.83881667"
"-18.48031667 20.83408333"
"-18.48041667 20.83441667"
"-18.47753333 20.83446667"
"-18.47746667 20.83616667"
"-18.4758 20.8392"
"-18.47523333 20.84138333"
"-18.47531667 20.84255"
"-18.47523333 20.84251667"
"-18.47533333 20.84173333"
"-18.476 20.83965"
"-18.47763333 20.84271667"
"-18.58965 20.84333333"
"-18.59561667 20.85175"
"-18.48048333 20.83526667"
"-18.4804 20.83458333"
"-18.48051667 20.83455"
"-18.47626667 20.8378"
"-18.48053333 20.83465"
"-18.48025 20.83785"
"-18.47903333 20.84381667"
"-18.47965 20.8427"
"-18.47926667 20.84236667"
"-18.48053333 20.83441667"
"-18.48061667 20.83446667"
"-18.48035 20.83461667"
"-18.48028333 20.8349"
"-18.4802 20.83753333"
"-18.4801 20.83823333"
"-18.4789 20.84253333"
"-18.47866667 20.84156667"
"-18.47726667 20.83725"
"-18.48063333 20.83453333"
"-18.72315 20.86258333"
"-18.72333333 20.86945"
"-18.72146667 20.86345"
"-18.72446667 20.86386667"
"-18.76306667 20.82171667"
"-18.76476667 20.81321667"
"-18.84951667 20.79795"
"-18.85351667 20.79301667"
"-18.85405 20.78996667"
"-18.85788333 20.79086667"
"-18.86206667 20.79996667"
"-18.86046667 20.80105"
"-18.85883333 20.80138333"
"-18.85886667 20.80218333"
"-18.85885 20.80216667"
"-18.85971667 20.80268333"
"-18.86596667 20.80958333"
"-18.86778333 20.8105"
"-18.86863333 20.80946667"
"-18.86846667 20.8092"
"-18.866 20.80631667"
"-18.85898333 20.79148333"
"-18.86683333 20.80566667"
"-18.86315 20.80623333"
"-18.85801667 20.79833333"
"-18.8571 20.79666667"
"-18.85398333 20.7911"
"-18.85393333 20.79748333"
"-18.85848333 20.7982"
"-18.86015 20.79938333"
"-18.8612 20.80098333"
"-18.86011667 20.80225"
"-18.85945 20.80291667"
"-18.85881667 20.80398333"
"-18.86231667 20.80523333"
"-18.86353333 20.80516667"
"-18.8643 20.80801667"
"-18.86608333 20.80958333"
"-18.86446667 20.8107"
"-18.85615 20.79798333"
"-18.857 20.79516667"
"-18.85576667 20.79143333"
"-18.85456667 20.7941"
"-18.85816667 20.79985"
"-18.86103333 20.80126667"
"-18.86286667 20.80235"
"-18.86445 20.80418333"
"-18.86513333 20.80618333"
"-18.8643 20.8091"
"-18.864 20.80931667"
"-18.86568333 20.81035"
"-18.8672 20.81125"
"-18.86883333 20.81168333"
"-18.8692 20.81121667"
"-18.8691 20.81063333"
"-18.86786667 20.8099"
"-18.86788333 20.80996667"
"-18.86751667 20.80815"
"-18.86581667 20.80676667"
"-18.86558333 20.80593333"
"-18.86336667 20.80048333"
"-18.85336667 20.78945"
"-18.85095 20.79501667"
"-18.86868333 20.81251667"
"-18.8681 20.8096"
"-18.8641 20.8038"
"-18.863 20.79926667"
"-18.86035 20.79516667"
"-18.85451667 20.79366667"
"-18.85608333 20.79968333"
"-18.85613333 20.79978333"
