"X","Y","DateTime","ID"
1109030.79588892,-2100103.87562272,2012-11-16 11:31:00,"MET.K1"
1108341.7075237,-2098842.39663405,2012-11-16 15:31:00,"MET.K1"
1106638.2053839,-2098981.36800897,2012-11-16 19:31:00,"MET.K1"
1104374.23087933,-2099334.67860739,2012-11-16 23:31:00,"MET.K1"
1104781.80136658,-2099039.89102163,2012-11-17 03:31:00,"MET.K1"
1103160.03885943,-2099176.26077287,2012-11-17 07:32:00,"MET.K1"
1102322.03066344,-2098841.06641002,2012-11-17 11:32:00,"MET.K1"
1104217.04813721,-2099318.44915616,2012-11-17 15:32:00,"MET.K1"
1101166.41205791,-2097098.98708171,2012-11-17 19:31:00,"MET.K1"
1101526.70422748,-2097479.81116322,2012-11-17 23:31:00,"MET.K1"
1101833.31088531,-2097556.44485524,2012-11-18 03:32:00,"MET.K1"
1100166.79234057,-2096257.21137961,2012-11-18 07:31:00,"MET.K1"
1099198.03537601,-2095901.32162294,2012-11-18 11:32:00,"MET.K1"
1100101.89891799,-2095971.56738489,2012-11-18 15:32:00,"MET.K1"
1106360.32338501,-2099647.34426033,2012-11-18 19:31:00,"MET.K1"
1105648.89791628,-2100041.18167755,2012-11-18 23:31:00,"MET.K1"
1107109.24379594,-2101573.49183339,2012-11-19 07:32:00,"MET.K1"
1109434.69695313,-2101247.06064268,2012-11-19 13:24:00,"MET.K1"
1109876.15103739,-2100148.27897138,2012-11-19 15:32:00,"MET.K1"
1110586.57628149,-2094560.72508459,2012-11-19 19:32:00,"MET.K1"
1106874.09257126,-2098305.12346271,2012-11-19 23:32:00,"MET.K1"
1104270.60902059,-2099787.25215094,2012-11-20 03:32:00,"MET.K1"
1102592.64115158,-2100027.46446647,2012-11-20 07:32:00,"MET.K1"
1101719.2658961,-2102157.5755963,2012-11-20 15:32:00,"MET.K1"
1101933.68397993,-2107612.30680293,2012-11-20 19:31:00,"MET.K1"
1103619.66408118,-2107981.91384672,2012-11-20 23:31:00,"MET.K1"
1104039.22898784,-2107995.60104315,2012-11-21 03:32:00,"MET.K1"
1106359.58844633,-2106956.02779172,2012-11-21 07:31:00,"MET.K1"
1107768.53278367,-2105678.77809263,2012-11-21 11:32:00,"MET.K1"
1108503.8511157,-2102456.57377045,2012-11-21 19:31:00,"MET.K1"
1108005.97039815,-2101888.64489391,2012-11-21 23:31:00,"MET.K1"
1108151.77021402,-2101476.37141586,2012-11-22 03:31:00,"MET.K1"
1108455.52449124,-2101250.54810456,2012-11-22 07:31:00,"MET.K1"
1104823.47160828,-2101726.88235866,2012-11-22 11:31:00,"MET.K1"
1101539.58053893,-2103685.21187911,2012-11-22 19:31:00,"MET.K1"
1103283.19103635,-2099849.70111467,2012-11-22 23:31:00,"MET.K1"
1106920.01484493,-2099363.11746031,2012-11-23 07:31:00,"MET.K1"
1108418.64376405,-2099564.46111296,2012-11-23 11:31:00,"MET.K1"
1108755.17327141,-2099890.21254215,2012-11-23 15:31:00,"MET.K1"
1107858.46493884,-2099117.97049999,2012-11-23 19:31:00,"MET.K1"
1107472.7173215,-2099261.06003923,2012-11-23 23:31:00,"MET.K1"
1107925.3079133,-2101636.88796404,2012-11-24 07:32:00,"MET.K1"
1110325.96393451,-2102887.85844467,2012-11-24 11:32:00,"MET.K1"
1109488.01150787,-2103169.500311,2012-11-24 15:32:00,"MET.K1"
1106181.61151436,-2104601.44892006,2012-11-24 19:31:00,"MET.K1"
1101276.34675585,-2103971.35892779,2012-11-24 23:31:00,"MET.K1"
1101177.94591191,-2101324.94236888,2012-11-25 03:31:00,"MET.K1"
1100542.06281875,-2100534.87535447,2012-11-25 07:32:00,"MET.K1"
1099679.21796798,-2100676.02577199,2012-11-25 11:31:00,"MET.K1"
1097522.63603819,-2099814.84589678,2012-11-25 18:27:00,"MET.K1"
1095932.70540045,-2100519.89233049,2012-11-25 22:27:00,"MET.K1"
1095177.05105435,-2100423.39709,2012-11-26 06:27:00,"MET.K1"
1096465.41568937,-2098131.92682853,2012-11-26 10:27:00,"MET.K1"
1096686.28387902,-2098637.14674607,2012-11-26 14:26:00,"MET.K1"
1096838.45334024,-2099600.50118831,2012-11-26 18:26:00,"MET.K1"
1096489.02400142,-2100595.56428661,2012-11-26 22:26:00,"MET.K1"
1096295.97186883,-2101104.18086529,2012-11-27 02:26:00,"MET.K1"
1096121.37279044,-2101565.57698825,2012-11-27 06:26:00,"MET.K1"
1096936.70149374,-2102898.27858836,2012-11-27 10:26:00,"MET.K1"
1100449.84983007,-2108609.39776237,2012-11-28 02:25:00,"MET.K1"
1099732.01429121,-2109019.79128218,2012-11-28 07:12:00,"MET.K1"
1099174.00370324,-2109460.95522462,2012-11-28 11:12:00,"MET.K1"
1097271.08718611,-2110639.22057423,2012-11-28 15:11:00,"MET.K1"
1095789.07429464,-2112646.21429246,2012-11-28 19:12:00,"MET.K1"
1094736.93610849,-2113561.85822659,2012-11-28 23:11:00,"MET.K1"
1096443.7164941,-2113431.24647048,2012-11-29 07:11:00,"MET.K1"
1095652.08319785,-2112204.81138951,2012-11-29 11:11:00,"MET.K1"
1094400.87482902,-2110038.56319129,2012-11-29 15:11:00,"MET.K1"
1093781.05000049,-2110796.96179188,2012-11-29 19:11:00,"MET.K1"
1093263.8923629,-2109939.78018397,2012-11-29 23:11:00,"MET.K1"
1093138.69751195,-2109820.12940716,2012-11-30 03:11:00,"MET.K1"
1093446.62209657,-2108595.83294323,2012-11-30 07:11:00,"MET.K1"
1094782.58906726,-2107376.73323411,2012-11-30 11:11:00,"MET.K1"
1094942.74914843,-2106803.69412736,2012-11-30 15:11:00,"MET.K1"
1093134.04483609,-2105574.88840619,2012-11-30 19:11:00,"MET.K1"
1092857.58200655,-2105056.81234544,2012-11-30 23:11:00,"MET.K1"
1092700.52050774,-2104840.5378392,2012-12-01 03:11:00,"MET.K1"
1092040.38632876,-2104144.55770846,2012-12-01 07:11:00,"MET.K1"
