"X","Y","DateTime","ID"
1104846.51554651,-2083871.40794435,2013-06-13 20:08:00,"MET.K1"
1104590.43522229,-2084256.80440752,2013-06-14 00:10:00,"MET.K1"
1104516.72599814,-2084505.74540647,2013-06-14 04:08:00,"MET.K1"
1104886.73640042,-2090391.50619081,2013-06-14 12:05:00,"MET.K1"
1105432.48075482,-2090314.66352882,2013-06-14 16:04:00,"MET.K1"
1107014.95339224,-2091216.77258602,2013-06-14 20:03:00,"MET.K1"
1110298.08860044,-2095674.555663,2013-06-15 00:03:00,"MET.K1"
1109940.17266171,-2098099.56161032,2013-06-15 04:03:00,"MET.K1"
1109176.95263908,-2099099.95099862,2013-06-15 08:03:00,"MET.K1"
1108892.96453869,-2099399.82406809,2013-06-15 12:03:00,"MET.K1"
1108507.62618468,-2099336.05017952,2013-06-15 16:02:00,"MET.K1"
1107833.67909942,-2100070.24629247,2013-06-15 20:03:00,"MET.K1"
1107790.13192441,-2100269.00360427,2013-06-16 00:03:00,"MET.K1"
1107829.69680428,-2100321.4551701,2013-06-16 04:03:00,"MET.K1"
1107915.47387191,-2100546.68541983,2013-06-16 08:03:00,"MET.K1"
1106497.47612296,-2101898.25292446,2013-06-16 12:03:00,"MET.K1"
1104559.72627299,-2102936.00266135,2013-06-16 16:03:00,"MET.K1"
1100949.85029266,-2106143.63520929,2013-06-16 20:03:00,"MET.K1"
1100090.72089706,-2106863.04321275,2013-06-17 00:03:00,"MET.K1"
1099760.05083955,-2106881.24303857,2013-06-17 04:03:00,"MET.K1"
1099228.89483149,-2107177.6252511,2013-06-17 08:04:00,"MET.K1"
1099073.63665014,-2107954.31690408,2013-06-17 12:03:00,"MET.K1"
1099637.61143969,-2108211.65546384,2013-06-17 16:03:00,"MET.K1"
1101747.06978043,-2108373.53430803,2013-06-17 20:03:00,"MET.K1"
1100711.20668752,-2108868.08156326,2013-06-18 00:03:00,"MET.K1"
1099507.17606876,-2109918.76877455,2013-06-18 08:03:00,"MET.K1"
1099335.66725222,-2110478.09470537,2013-06-18 12:03:00,"MET.K1"
1100077.48225486,-2111347.27692701,2013-06-18 16:03:00,"MET.K1"
1100379.23239794,-2113127.38718792,2013-06-18 20:03:00,"MET.K1"
1101439.3835763,-2115255.83984269,2013-06-19 00:03:00,"MET.K1"
1098536.13914976,-2114129.47043696,2013-06-19 04:03:00,"MET.K1"
1097633.73656938,-2112735.85137161,2013-06-19 12:39:00,"MET.K1"
1095578.38240303,-2111866.63638041,2013-06-19 20:37:00,"MET.K1"
1097404.33200047,-2112144.65459501,2013-06-20 00:35:00,"MET.K1"
1097819.06453327,-2112074.67745823,2013-06-20 08:35:00,"MET.K1"
1098374.51069575,-2113243.5492232,2013-06-20 12:34:00,"MET.K1"
1099647.09146055,-2114828.29047368,2013-06-20 16:34:00,"MET.K1"
1102024.87933669,-2116659.4335015,2013-06-20 20:34:00,"MET.K1"
1100239.35590863,-2116547.81184533,2013-06-21 00:34:00,"MET.K1"
1099675.46712033,-2116621.74963829,2013-06-21 04:36:00,"MET.K1"
1098368.21304409,-2116599.27087044,2013-06-21 08:34:00,"MET.K1"
1096598.99800369,-2116803.21360613,2013-06-21 12:34:00,"MET.K1"
1096120.73206001,-2117337.02869856,2013-06-21 16:35:00,"MET.K1"
1094732.40431681,-2118846.60072549,2013-06-21 20:34:00,"MET.K1"
1089604.82579552,-2120610.64086516,2013-06-22 00:34:00,"MET.K1"
1088793.92036791,-2120749.20541863,2013-06-22 04:34:00,"MET.K1"
1092561.28886265,-2118706.52839829,2013-06-22 08:34:00,"MET.K1"
1093950.04228209,-2118684.5745613,2013-06-22 12:35:00,"MET.K1"
1094612.14501318,-2118740.41976981,2013-06-22 16:34:00,"MET.K1"
1094819.02991708,-2118521.38606295,2013-06-22 20:34:00,"MET.K1"
1094992.82683831,-2118246.80010712,2013-06-23 00:34:00,"MET.K1"
1096442.20014145,-2117139.50235555,2013-06-23 08:35:00,"MET.K1"
1096848.87608276,-2115192.31550612,2013-06-23 12:35:00,"MET.K1"
1096372.06801805,-2114993.42019788,2013-06-23 16:34:00,"MET.K1"
1095967.55992316,-2114880.27067324,2013-06-23 20:34:00,"MET.K1"
1095754.16119478,-2115201.3934152,2013-06-24 00:34:00,"MET.K1"
1095856.73972991,-2115528.27788762,2013-06-24 04:35:00,"MET.K1"
1095765.1344973,-2115908.93134057,2013-06-24 08:35:00,"MET.K1"
1095510.72696129,-2116288.77082431,2013-06-24 12:34:00,"MET.K1"
1096567.85198263,-2116524.2201286,2013-06-24 16:34:00,"MET.K1"
1097771.57098091,-2116673.3116747,2013-06-24 20:34:00,"MET.K1"
1102058.49988288,-2116666.0921031,2013-06-25 00:34:00,"MET.K1"
1101186.93334253,-2117062.43105812,2013-06-25 04:29:00,"MET.K1"
1099509.64259218,-2117850.66844826,2013-06-25 08:29:00,"MET.K1"
1098066.16865048,-2118574.33031098,2013-06-25 12:30:00,"MET.K1"
1096883.93989939,-2119103.0549261,2013-06-25 16:29:00,"MET.K1"
1096027.72951684,-2119589.01976521,2013-06-25 20:28:00,"MET.K1"
1095860.4002903,-2119859.35924232,2013-06-26 00:29:00,"MET.K1"
1095901.61393639,-2120120.88661604,2013-06-26 04:28:00,"MET.K1"
1095510.53830095,-2120053.73706076,2013-06-26 08:28:00,"MET.K1"
1093484.89925983,-2119831.49486868,2013-06-26 16:29:00,"MET.K1"
1088825.3251896,-2120824.70212509,2013-06-26 20:28:00,"MET.K1"
1090050.35109283,-2120956.25638508,2013-06-27 00:28:00,"MET.K1"
1088796.19882642,-2120777.07352644,2013-06-27 04:29:00,"MET.K1"
1090756.05718132,-2120605.33983359,2013-06-27 08:28:00,"MET.K1"
1093808.54344523,-2119695.16858976,2013-06-27 12:28:00,"MET.K1"
1096240.98445248,-2118945.44521658,2013-06-27 16:30:00,"MET.K1"
1102055.10936524,-2116640.40439306,2013-06-27 20:28:00,"MET.K1"
1101749.02195904,-2112732.73534596,2013-06-28 00:28:00,"MET.K1"
1101487.23109245,-2111515.4369392,2013-06-28 04:28:00,"MET.K1"
1101070.49970999,-2110084.05860617,2013-06-28 08:28:00,"MET.K1"
1100357.6977605,-2108515.22388468,2013-06-28 12:29:00,"MET.K1"
1101456.37390253,-2107748.02758037,2013-06-28 16:29:00,"MET.K1"
1102429.92274325,-2106439.68661561,2013-06-28 20:28:00,"MET.K1"
1102587.68724378,-2106956.35360985,2013-06-29 00:28:00,"MET.K1"
1102917.53733297,-2107386.32875727,2013-06-29 04:29:00,"MET.K1"
1103221.91299271,-2108402.64583368,2013-06-29 08:29:00,"MET.K1"
1103620.97010811,-2109141.830914,2013-06-29 12:29:00,"MET.K1"
1103246.61969694,-2108942.79513609,2013-06-29 16:29:00,"MET.K1"
1101506.52076908,-2108971.76338153,2013-06-29 20:28:00,"MET.K1"
1101231.60211629,-2109260.84622421,2013-06-30 00:28:00,"MET.K1"
1101213.62529858,-2113226.82366485,2013-06-30 12:24:00,"MET.K1"
1102111.19225182,-2115149.87838244,2013-06-30 16:23:00,"MET.K1"
1099670.48292284,-2114336.43788095,2013-06-30 20:23:00,"MET.K1"
1097895.5215153,-2113730.63397329,2013-07-01 00:23:00,"MET.K1"
1097741.99414895,-2113409.86496259,2013-07-01 04:24:00,"MET.K1"
1097539.99019724,-2113214.29232737,2013-07-01 08:23:00,"MET.K1"
1097753.84851692,-2112063.67109841,2013-07-01 16:26:00,"MET.K1"
1097803.36562112,-2111579.34953933,2013-07-01 20:23:00,"MET.K1"
1097906.87978559,-2111354.74837319,2013-07-02 00:22:00,"MET.K1"
1097882.40588561,-2111457.36826698,2013-07-02 04:22:00,"MET.K1"
1098192.91908024,-2111634.21333439,2013-07-02 08:23:00,"MET.K1"
1098696.00996454,-2112199.82391718,2013-07-02 12:23:00,"MET.K1"
1099324.08097722,-2112824.00142584,2013-07-02 16:23:00,"MET.K1"
1102048.04563338,-2116662.41442887,2013-07-02 20:22:00,"MET.K1"
1101473.63646764,-2111348.19117676,2013-07-03 00:23:00,"MET.K1"
1101868.09982254,-2106114.50637777,2013-07-03 04:25:00,"MET.K1"
1101401.31268735,-2106967.8294727,2013-07-03 08:23:00,"MET.K1"
1101609.28370889,-2107990.96820903,2013-07-03 12:22:00,"MET.K1"
1100941.39027178,-2108751.01213886,2013-07-03 16:23:00,"MET.K1"
1101712.59429328,-2108490.28749483,2013-07-03 20:23:00,"MET.K1"
1099152.10128112,-2109451.34986972,2013-07-04 00:23:00,"MET.K1"
1098461.31425669,-2109649.15320081,2013-07-04 04:23:00,"MET.K1"
1097932.05009764,-2109890.00626688,2013-07-04 08:23:00,"MET.K1"
1097447.36762105,-2110519.26780442,2013-07-04 12:23:00,"MET.K1"
1096980.43677974,-2110960.07639635,2013-07-04 16:23:00,"MET.K1"
1096156.99854399,-2111240.38576797,2013-07-05 00:24:00,"MET.K1"
1095966.98310297,-2111327.65743333,2013-07-05 04:23:00,"MET.K1"
1095915.69609696,-2111409.3971975,2013-07-05 08:23:00,"MET.K1"
1096513.30414998,-2111604.36689657,2013-07-05 12:23:00,"MET.K1"
1096796.30863955,-2112141.67671378,2013-07-05 16:23:00,"MET.K1"
1101220.84959665,-2115795.82929836,2013-07-06 00:23:00,"MET.K1"
1099509.05942036,-2114292.27202575,2013-07-06 04:23:00,"MET.K1"
1098777.96104206,-2112836.30559742,2013-07-06 08:23:00,"MET.K1"
1098489.8989532,-2112522.28627986,2013-07-06 12:23:00,"MET.K1"
1097876.72187511,-2111959.78833196,2013-07-06 16:23:00,"MET.K1"
1097072.31630404,-2111553.48494641,2013-07-06 20:23:00,"MET.K1"
1097081.58838346,-2111364.75466925,2013-07-07 00:23:00,"MET.K1"
1096796.1094585,-2111001.93611041,2013-07-07 08:39:00,"MET.K1"
1096389.12311655,-2111486.94095976,2013-07-07 12:39:00,"MET.K1"
1096916.90580841,-2111715.25373474,2013-07-07 16:38:00,"MET.K1"
1097326.02924453,-2111328.1777277,2013-07-07 20:38:00,"MET.K1"
1097279.65962923,-2111192.13351062,2013-07-08 00:38:00,"MET.K1"
1097585.38173469,-2110994.08347445,2013-07-08 04:38:00,"MET.K1"
1098086.45132164,-2110348.67821481,2013-07-08 12:33:00,"MET.K1"
1098742.97157136,-2109836.18512722,2013-07-08 16:32:00,"MET.K1"
1101720.2807037,-2108481.64126817,2013-07-08 20:33:00,"MET.K1"
1100796.07156062,-2108535.01198685,2013-07-09 00:32:00,"MET.K1"
1099795.0997369,-2108574.81818954,2013-07-09 04:32:00,"MET.K1"
1099257.98454383,-2108468.4571705,2013-07-09 08:32:00,"MET.K1"
1099619.97914947,-2107776.2994079,2013-07-09 12:32:00,"MET.K1"
1100335.78407394,-2107396.95838212,2013-07-09 16:32:00,"MET.K1"
