"X","Y","DateTime","ID","dry_recurse$revisits","revisits"
1101720.71416253,-2108468.3111124,2013-08-19 17:10:00,"MET.K1",47,47
1101744.33372048,-2108490.20757148,2013-08-19 17:39:00,"MET.K1",46,46
1101730.59561968,-2108489.76083149,2013-08-19 18:10:00,"MET.K1",46,46
1101721.92467308,-2108496.15099778,2013-08-19 18:40:00,"MET.K1",46,46
1101862.45787461,-2108566.33072679,2013-08-19 19:09:00,"MET.K1",47,47
1102035.95461523,-2108858.87774195,2013-08-19 19:40:00,"MET.K1",42,42
1101727.2085552,-2108496.32281765,2013-08-22 19:40:00,"MET.K1",46,46
1100999.78656732,-2109395.64992402,2013-08-23 23:40:00,"MET.K1",21,21
1101512.12668164,-2108213.54988959,2013-08-24 11:40:00,"MET.K1",48,48
1101718.16714935,-2108481.57254129,2013-08-25 19:40:00,"MET.K1",46,46
1102141.53468418,-2105839.82494234,2013-08-25 23:37:00,"MET.K1",49,49
1099144.63725757,-2108244.61606639,2013-08-26 15:36:00,"MET.K1",21,21
1098935.17766778,-2108310.11402079,2013-08-26 19:36:00,"MET.K1",21,21
1100948.77993568,-2108393.18594908,2013-08-27 19:35:00,"MET.K1",21,21
1101324.96050618,-2109024.79780935,2013-08-29 01:21:00,"MET.K1",26,26
1101014.36022809,-2109272.6904462,2013-08-29 05:21:00,"MET.K1",22,22
1100994.95225342,-2109316.54020006,2013-08-29 09:21:00,"MET.K1",24,24
1098767.2276945,-2108465.91426384,2013-08-30 01:22:00,"MET.K1",21,21
1102046.44109949,-2116646.7934392,2013-08-31 21:21:00,"MET.K1",33,33
1108825.33398473,-2105301.97178454,2014-06-06 19:04:00,"MET.K1",31,31
1108737.62403563,-2105588.24899176,2014-06-06 20:04:00,"MET.K1",28,28
1102268.13059785,-2105786.11385977,2014-06-07 22:05:00,"MET.K1",47,47
1100512.77294832,-2109440.99149683,2014-07-11 20:51:00,"MET.K1",23,23
1100838.99554612,-2108972.3117286,2014-07-11 21:51:00,"MET.K1",28,28
1101839.0733861,-2108472.16018674,2014-07-11 22:52:00,"MET.K1",45,45
1108990.72244217,-2105034.92806182,2014-07-13 11:51:00,"MET.K1",26,26
1108618.61198178,-2105667.75113251,2014-07-13 20:51:00,"MET.K1",27,27
1108811.1081747,-2105573.9805619,2014-07-14 11:52:00,"MET.K1",29,29
1108825.40696409,-2105299.74988742,2014-07-15 20:05:00,"MET.K1",31,31
1108742.98783182,-2105424.93972347,2014-07-15 21:04:00,"MET.K1",32,32
1108975.76534954,-2105329.15639397,2014-07-16 17:02:00,"MET.K1",30,30
1108821.2516573,-2105297.38911077,2014-07-16 20:03:00,"MET.K1",31,31
1108559.64675112,-2105207.61212023,2014-07-17 18:03:00,"MET.K1",26,26
1108811.66720773,-2105234.7940908,2014-07-18 14:03:00,"MET.K1",31,31
1109280.02587957,-2105247.9583401,2014-07-18 15:03:00,"MET.K1",24,24
1108818.26288854,-2105291.7302095,2014-07-18 19:03:00,"MET.K1",31,31
1108632.97676699,-2105552.55990793,2014-07-18 20:04:00,"MET.K1",29,29
1108520.85383686,-2105647.85882649,2014-07-18 21:03:00,"MET.K1",24,24
1108419.96486898,-2105400.98777198,2014-07-19 16:03:00,"MET.K1",25,25
1108807.91110193,-2105284.71732777,2014-07-19 22:03:00,"MET.K1",31,31
1102357.66885484,-2105635.56437758,2014-07-20 18:05:00,"MET.K1",46,46
1102271.39982787,-2105750.63526814,2014-07-21 18:05:00,"MET.K1",47,47
1101948.4181179,-2105531.080882,2014-07-21 19:05:00,"MET.K1",43,43
1102035.15212955,-2116668.66543466,2014-08-22 19:09:00,"MET.K1",33,33
1101330.55742486,-2108494.54897123,2014-08-24 23:41:00,"MET.K1",48,48
1100634.62748841,-2108913.41130687,2014-08-25 00:42:00,"MET.K1",26,26
1100520.68850835,-2109034.25646729,2014-08-25 01:42:00,"MET.K1",22,22
1101732.88978614,-2108484.27532756,2014-08-25 22:21:00,"MET.K1",46,46
1100987.96461555,-2108880.40584474,2014-08-25 23:20:00,"MET.K1",30,30
1100428.20694646,-2109243.64622806,2014-08-26 00:21:00,"MET.K1",23,23
1100934.63783204,-2109056.59478703,2014-08-26 19:20:00,"MET.K1",28,28
1101790.29003245,-2108508.38240125,2014-08-26 20:20:00,"MET.K1",46,46
1101335.01033382,-2108878.33855628,2014-08-26 21:21:00,"MET.K1",24,24
1100952.16375183,-2109168.36489943,2014-08-26 22:21:00,"MET.K1",28,28
1100654.20145456,-2109483.39208013,2014-08-26 23:20:00,"MET.K1",22,22
1099659.11820044,-2112668.08137797,2014-08-28 06:50:00,"MET.K1",21,21
1102055.07307268,-2116641.51524808,2014-08-28 19:50:00,"MET.K1",33,33
1102008.23626192,-2116683.3546662,2014-08-28 20:50:00,"MET.K1",33,33
1102038.86544521,-2116652.10614289,2014-08-30 19:52:00,"MET.K1",33,33
1101085.5459296,-2108872.45588744,2014-08-31 23:27:00,"MET.K1",29,29
1101728.48206592,-2108489.69210318,2015-06-03 19:40:00,"MET.K1",46,46
1101735.84338153,-2108491.04349989,2015-06-04 19:40:00,"MET.K1",46,46
1101749.2563691,-2108501.48786474,2015-06-07 13:29:00,"MET.K1",46,46
1101910.42574784,-2108880.36997521,2015-06-07 14:29:00,"MET.K1",43,43
1101848.23918872,-2108938.39619053,2015-06-07 15:29:00,"MET.K1",44,44
1101723.01757157,-2108495.07451527,2015-06-07 16:29:00,"MET.K1",46,46
1101894.83607145,-2108904.32733119,2015-06-07 17:29:00,"MET.K1",43,43
1101730.92072098,-2108479.76321328,2015-06-09 15:28:00,"MET.K1",46,46
1101971.96370614,-2108712.23217364,2015-06-09 16:28:00,"MET.K1",45,45
1102011.63204521,-2108793.58873352,2015-06-09 17:28:00,"MET.K1",44,44
1101739.84453601,-2108465.59712219,2015-06-09 18:27:00,"MET.K1",47,47
1101312.77547665,-2108976.58512533,2015-06-09 19:28:00,"MET.K1",25,25
1101138.12145599,-2109207.76745765,2015-06-09 20:28:00,"MET.K1",24,24
1101746.51952146,-2108488.05460823,2015-06-11 19:30:00,"MET.K1",46,46
1101567.34831382,-2108630.12747169,2015-06-11 20:29:00,"MET.K1",47,47
1101922.43140607,-2108673.92390221,2015-06-12 18:40:00,"MET.K1",45,45
1101753.91696248,-2108488.29516545,2015-06-13 19:39:00,"MET.K1",46,46
1099099.40460713,-2108302.08625415,2015-06-14 16:38:00,"MET.K1",21,21
1099123.1673442,-2108482.99518565,2015-06-14 17:38:00,"MET.K1",22,22
1099334.28977182,-2108562.11057865,2015-06-14 18:38:00,"MET.K1",21,21
