"","unique","revisits2013w","revisits2014w","revisits2015w","revisits2013d","revisits2014d","revisits2015d","X","Y","diff2013","diff2014","diff2015"
"333","1191",0,0,0,0,0,0,1091920.83996783,-2084174.20161672,0,0,0
"334","1193",0,0,0,0,0,0,1102283.76771158,-2084770.91593833,0,0,0
"335","1194",0,0,0,0,1,0,1092584.87396401,-2084694.52610443,0,-1,0
"336","1197",0,0,0,0,2,0,1090509.91901458,-2084254.75665676,0,-2,0
"337","1201",0,4,1,0,6,5,1117577.51288707,-2085383.79499066,0,-2,-4
"338","1203",0,1,0,0,0,0,1118099.18263171,-2085572.66508498,0,1,0
"339","1208",0,0,0,0,0,0,1100157.5146785,-2085347.04418686,0,0,0
"340","1211",0,0,1,0,0,0,1101310.74101174,-2085648.57204666,0,0,1
"341","1217",0,1,1,0,0,3,1112279.78271393,-2086428.01348812,0,1,-2
"342","1219",0,2,0,0,0,1,1117809.2460735,-2086881.94316719,0,2,-1
"343","1223",0,0,1,0,0,2,1106577.41329624,-2086759.90629804,0,0,-1
"344","1226",0,0,0,0,0,0,1104992.99811496,-2086767.58747489,0,0,0
"345","1227",0,0,1,0,1,0,1095749.98458277,-2086485.39281958,0,-1,1
"346","1229",0,1,0,0,2,0,1119858.14583007,-2087395.97558508,0,-1,0
"347","1237",0,0,0,0,0,0,1099289.48447522,-2086951.74197802,0,0,0
"348","1238",0,0,0,0,0,0,1103629.84747971,-2087035.0380501,0,0,0
"349","1239",0,0,0,0,0,0,1094910.19323614,-2086842.88953375,0,0,0
"350","1253",0,0,1,0,0,1,1117807.28647798,-2088503.3250317,0,0,0
"351","1255",0,0,1,0,1,0,1119189.05237074,-2088750.52724812,0,-1,1
"352","1258",0,0,0,0,0,0,1094723.67568756,-2088295.00926121,0,0,0
"353","1268",0,0,0,0,0,1,1113293.45038803,-2089351.23159397,0,0,-1
"354","1270",0,1,0,0,1,1,1098119.52793467,-2089372.59005996,0,0,-1
"355","1271",0,2,1,0,0,0,1100724.26372085,-2089633.47148857,0,2,1
"356","1273",0,0,0,0,0,0,1102062.93634569,-2089346.97218691,0,0,0
"357","1276",0,3,0,0,0,0,1126220.60460874,-2090188.68038194,0,3,0
"358","1278",0,0,0,0,1,0,1095107.57558535,-2089178.28637075,0,-1,0
"359","1280",0,0,0,0,0,0,1115206.40322663,-2089949.30082774,0,0,0
"360","1282",0,0,0,0,0,1,1114169.78646379,-2089920.31714885,0,0,-1
"361","1283",1,0,0,0,1,0,1092393.42585781,-2089246.07157114,1,-1,0
"362","1287",0,1,1,0,0,0,1128448.25442537,-2090626.10078016,0,1,1
"363","1290",0,0,0,0,0,0,1085790.46203109,-2089405.51852292,0,0,0
"364","1291",0,0,0,0,0,0,1110867.67073659,-2090353.25353738,0,0,0
"365","1294",0,1,0,0,1,0,1098592.56329078,-2090102.00759269,0,0,0
"366","1297",0,7,0,0,9,10,1107708.23604402,-2091535.43405546,0,-2,-10
"367","1299",0,0,0,0,0,0,1095066.74478435,-2090198.36533907,0,0,0
"368","1304",0,0,0,0,0,0,1086765.10660616,-2090500.07230213,0,0,0
"369","1306",0,0,4,0,1,0,1120343.6124976,-2091850.11991859,0,-1,4
"370","1308",0,1,0,0,1,1,1111085.62102839,-2091515.89846556,0,0,-1
"371","1309",0,0,0,0,0,0,1103047.29988276,-2091771.37849185,0,0,0
"372","1312",0,0,0,0,0,0,1085205.63421456,-2090773.69887667,0,0,0
"373","1317",0,0,0,0,0,4,1111847.58668062,-2092399.87718921,0,0,-4
"374","1321",0,0,0,0,2,7,1114204.23572899,-2093249.51963407,0,-2,-7
"375","1322",0,0,0,0,0,0,1094151.39507479,-2092389.46190405,0,0,0
"376","1327",0,0,0,0,0,0,1094513.13178158,-2092537.61222289,0,0,0
"377","1329",0,1,3,0,0,0,1126167.17830313,-2093765.33409626,0,1,3
"378","1332",0,0,0,0,0,0,1094823.15070269,-2092811.44905786,0,0,0
"379","1333",0,1,1,0,0,0,1126858.08619574,-2093913.45182635,0,1,1
"380","1341",0,0,4,1,0,0,1123563.40520237,-2094396.27155461,-1,0,4
"381","1349",0,0,0,0,0,0,1099302.16110927,-2094730.79817916,0,0,0
"382","1350",0,0,0,0,0,0,1090267.08563389,-2094483.91787719,0,0,0
"383","1351",0,0,0,0,0,0,1090640.76187235,-2094632.4992086,0,0,0
"384","1354",0,2,0,0,0,0,1093984.65080203,-2095067.63208686,0,2,0
"385","1355",0,1,0,0,0,0,1093025.94347285,-2095107.89506585,0,1,0
"386","1356",0,0,0,0,0,0,1101370.11773862,-2095801.97742493,0,0,0
"387","1357",0,0,0,0,0,0,1103233.40488906,-2095906.24106824,0,0,0
"388","1358",0,0,0,0,0,0,1119727.78062,-2096453.00907587,0,0,0
"389","1363",0,0,0,0,0,0,1119012.49273475,-2096725.60777067,0,0,0
"390","1364",0,2,0,0,0,0,1100736.65655869,-2096159.00388539,0,2,0
"391","1365",0,1,0,0,0,0,1093368.72155463,-2096147.99144503,0,1,0
"392","1366",0,1,0,0,0,0,1094432.48939297,-2096220.4696828,0,1,0
"393","1367",0,0,0,0,0,0,1095054.1459738,-2096237.65314212,0,0,0
"394","1371",0,1,1,0,0,0,1129886.90597191,-2098135.12628529,0,1,1
"395","1374",0,6,0,0,2,0,1104579.96593411,-2097506.31148532,0,4,0
"396","1375",0,5,0,0,3,0,1099883.15557352,-2097660.25030769,0,2,0
"397","1378",0,0,0,0,1,0,1097080.24752552,-2097791.54746553,0,-1,0
"398","1379",0,1,0,0,0,0,1104241.43854586,-2098179.15865792,0,1,0
"399","1391",0,0,0,0,0,0,1114534.89183838,-2100873.53538568,0,0,0
"400","1396",0,2,0,0,0,0,1094487.15739342,-2100762.14195683,0,2,0
"401","1406",0,0,0,0,0,0,1112277.46400691,-2102389.87080942,0,0,0
"402","1410",0,0,2,0,0,0,1122527.01260473,-2102808.19450565,0,0,2
"403","1411",0,0,0,0,0,0,1118722.7638936,-2102787.11648345,0,0,0
"404","1412",0,0,1,0,0,0,1084873.78419059,-2101807.00401997,0,0,1
"405","1414",0,2,0,0,1,0,1099658.36478641,-2102337.03196858,0,1,0
"406","1419",0,1,0,0,0,0,1110701.44752569,-2102834.10091222,0,1,0
"407","1424",1,2,1,0,0,0,1109340.98057275,-2103100.76116437,1,2,1
"408","1425",0,1,0,0,2,0,1102807.25359596,-2102981.34506378,0,-1,0
"409","1426",0,0,0,0,0,0,1100551.34414376,-2102956.23705863,0,0,0
"410","1428",0,0,0,0,1,0,1113437.04758797,-2103696.92998454,0,-1,0
"411","1431",4,10,13,0,3,0,1084670.06380168,-2105886.8863793,4,7,13
"412","1441",0,0,0,0,3,0,1111562.43397993,-2105973.09545585,0,-3,0
"413","1444",0,2,0,0,1,0,1115294.41414401,-2106659.32719249,0,1,0
"414","1449",0,2,0,0,1,0,1116092.90940577,-2107698.92458952,0,1,0
"415","1452",0,0,0,0,0,0,1113010.85378856,-2107965.70774456,0,0,0
"416","1460",0,0,0,0,0,0,1130123.50074187,-2109514.77541193,0,0,0
"417","1461",0,0,0,0,0,0,1083819.90790418,-2108036.74691092,0,0,0
"418","1473",0,0,0,0,0,0,1082462.76891957,-2109360.98185434,0,0,0
"419","1480",0,0,0,0,0,0,1093335.88213482,-2115530.40396034,0,0,0
"420","1484",0,0,0,0,0,0,1127388.68650073,-2121835.19315904,0,0,0
"421","1486",0,0,0,0,0,0,1089000.08801775,-2124363.81367537,0,0,0
"422","397",0,0,0,0,0,0,1123051.97364284,-2043017.5669353,0,0,0
"423","399",0,0,0,0,0,0,1111637.74236568,-2043275.22647783,0,0,0
"424","671",0,1,0,0,0,0,1132542.32917946,-2063252.60964006,0,1,0
"425","849",0,0,0,0,0,0,1090650.90258017,-2068842.53987457,0,0,0
"426","872",0,0,0,0,0,0,1089441.47510675,-2069878.57771589,0,0,0
"427","1162",0,0,0,0,2,0,1088236.29169716,-2082515.8816443,0,-2,0
"428","1221",0,45,22,0,19,0,1087699.1219405,-2086525.51933301,0,26,22
"429","1338",0,0,0,0,0,0,1132868.48177776,-2094583.48558361,0,0,0
"430","1377",0,0,0,0,0,0,1081922.32545971,-2097243.4837251,0,0,0
"431","1407",0,0,0,0,0,0,1081516.63181305,-2101553.11620201,0,0,0
"432","1445",1,2,2,0,5,0,1082462.19964029,-2106004.12307444,1,-3,2
