"","unique","revisits2013w","revisits2014w","revisits2015w","revisits2013d","revisits2014d","revisits2015d","X","Y","diff2013","diff2014","diff2015"
"28","434",0,0,0,0,0,0,1113713.14997575,-2045521.75903603,0,0,0
"29","435",0,0,0,0,0,0,1118989.69439975,-2045429.44580562,0,0,0
"30","436",0,2,2,0,0,0,1128644.11645875,-2046062.68516262,0,2,2
"31","437",0,24,4,0,7,1,1117266.57859617,-2045941.84577472,0,17,3
"32","442",0,3,0,0,0,0,1122387.2369277,-2047200.45674471,0,3,0
"33","445",0,14,0,0,2,1,1116571.56999681,-2047625.36511429,0,12,-1
"34","447",0,1,0,0,0,0,1131016.66248473,-2047903.9275094,0,1,0
"35","449",0,0,0,0,0,0,1120475.01721713,-2047995.20050338,0,0,0
"36","460",0,1,2,0,2,0,1128618.4233811,-2048974.5633818,0,-1,2
"37","463",0,5,1,0,0,0,1132131.32182221,-2049513.08970291,0,5,1
"38","466",0,6,5,0,0,0,1121691.09867082,-2049074.71642941,0,6,5
"39","469",0,0,1,0,0,0,1127542.46049655,-2049491.78424071,0,0,1
"40","470",0,1,0,0,0,0,1132784.49768896,-2049781.14471113,0,1,0
"41","471",0,0,0,0,0,0,1127095.99996611,-2049646.24785168,0,0,0
"42","472",0,0,0,0,0,0,1128913.40225195,-2050060.95508048,0,0,0
"43","473",0,0,0,0,0,0,1130826.04791898,-2050134.10527902,0,0,0
"44","474",0,0,0,0,0,0,1130107.55522444,-2050114.9200959,0,0,0
"45","475",0,0,0,0,0,0,1126436.50933508,-2050036.61193498,0,0,0
"46","476",0,5,0,0,0,0,1131707.32575641,-2050349.20461026,0,5,0
"47","477",0,1,0,0,0,0,1133448.25922318,-2050508.90182254,0,1,0
"48","482",0,1,0,0,0,0,1129006.51096243,-2050817.69457474,0,1,0
"49","499",0,1,0,0,0,0,1129274.91164773,-2052587.82128359,0,1,0
"50","510",0,0,0,0,0,0,1130622.11900734,-2053086.38674392,0,0,0
"51","514",0,0,0,0,0,0,1126669.03669396,-2053079.28729663,0,0,0
"52","543",0,0,0,0,0,0,1120831.80545066,-2054615.29674841,0,0,0
"53","545",0,1,0,0,0,0,1122781.14191025,-2055070.63881386,0,1,0
"54","547",0,0,0,0,0,0,1123357.13529525,-2055178.59652873,0,0,0
"55","558",0,1,1,0,0,2,1120321.95685574,-2055593.94024462,0,1,-1
"56","561",0,0,0,0,0,0,1121940.58189477,-2055853.51238937,0,0,0
"57","562",0,0,0,0,0,0,1106454.68412324,-2055479.19046783,0,0,0
"58","564",0,0,0,0,0,0,1124804.75612465,-2056507.67468951,0,0,0
"59","565",0,0,0,0,0,0,1124266.9937844,-2056526.66605043,0,0,0
"60","571",0,0,0,0,0,0,1126103.16923812,-2057158.35179476,0,0,0
"61","585",0,0,0,0,0,0,1101943.17895427,-2057961.24824811,0,0,0
"62","586",0,2,2,0,2,1,1127594.04640502,-2059034.07487932,0,0,1
"63","587",0,0,0,0,0,0,1102387.14712085,-2057975.29605894,0,0,0
"64","595",0,0,1,0,0,0,1113234.01516787,-2058854.55378976,0,0,1
"65","598",0,4,0,0,3,0,1124764.14893214,-2059568.56131618,0,1,0
"66","599",0,0,1,0,4,5,1120772.57520995,-2059816.61967077,0,-4,-4
"67","602",0,2,1,0,4,5,1116387.05952222,-2059575.94735482,0,-2,-4
"68","604",0,2,4,1,8,0,1125997.81446098,-2060341.13127605,-1,-6,4
"69","606",0,0,0,0,3,1,1123966.11706919,-2059801.00541407,0,-3,-1
"70","611",0,1,0,0,0,3,1117913.10763845,-2059927.45416628,0,1,-3
"71","612",0,0,0,0,0,1,1122949.65931935,-2060205.31566852,0,0,-1
"72","614",0,0,0,0,1,1,1120648.32966193,-2060336.58171348,0,-1,-1
"73","617",0,1,0,0,0,0,1114346.75296128,-2060300.59977054,0,1,0
"74","619",0,0,0,0,4,0,1128254.74622065,-2060963.60684583,0,-4,0
"75","620",0,2,1,0,6,11,1116353.95765491,-2060619.95053432,0,-4,-10
"76","623",0,0,1,0,1,0,1125356.0502987,-2060961.99868334,0,-1,1
"77","624",0,0,0,0,0,0,1108362.02435501,-2060471.39481487,0,0,0
"78","625",0,0,0,0,3,0,1126357.15717998,-2061129.05910994,0,-3,0
"79","627",0,0,0,0,3,0,1119625.21209878,-2061057.14824666,0,-3,0
"80","630",0,0,0,0,0,0,1127075.84126306,-2061323.2953638,0,0,0
"81","634",0,2,1,0,0,0,1097830.83052991,-2060652.53103413,0,2,1
"82","635",0,0,1,0,7,3,1116904.8621616,-2061343.80920694,0,-7,-2
"83","639",0,0,1,0,2,3,1117823.47229352,-2061587.13774866,0,-2,-2
"84","641",0,0,1,0,0,2,1114535.74001526,-2061455.90859937,0,0,-1
"85","646",0,2,3,0,4,0,1122768.36005433,-2062120.55005132,0,-2,3
"86","655",0,1,1,0,2,4,1114496.79499143,-2062396.83641547,0,-1,-3
"87","658",0,0,0,0,0,0,1096368.09602068,-2061754.75699618,0,0,0
"88","659",0,0,0,0,0,0,1095003.47724657,-2061723.54526692,0,0,0
"89","660",0,0,0,0,0,1,1115797.80881572,-2062378.93433999,0,0,-1
"90","662",0,1,1,0,0,0,1106538.58128345,-2062094.31281075,0,1,1
"91","663",0,1,0,0,0,1,1112963.21092493,-2062381.31039468,0,1,-1
"92","665",0,1,0,0,0,0,1108242.40443925,-2062336.33538666,0,1,0
"93","673",0,0,1,0,0,0,1094631.07214668,-2062171.8880583,0,0,1
"94","675",0,3,2,0,0,0,1107701.88352457,-2062762.99151359,0,3,2
"95","676",0,1,0,0,4,1,1118042.95115338,-2063095.53995126,0,-3,-1
"96","682",0,0,0,0,0,0,1093217.81245593,-2062357.95913134,0,0,0
"97","683",0,0,0,0,0,0,1103740.7524564,-2062808.4714109,0,0,0
"98","686",0,1,0,0,0,0,1124836.30120488,-2063553.0511672,0,1,0
"99","687",0,0,1,0,0,0,1125394.91572246,-2063786.71434039,0,0,1
"100","688",0,0,0,0,0,1,1113712.87631608,-2063232.55689598,0,0,-1
"101","689",0,0,0,0,0,0,1101252.54225934,-2062986.27046878,0,0,0
"102","690",0,0,0,0,0,0,1105020.57359211,-2063024.94990456,0,0,0
"103","691",0,0,1,0,0,0,1111103.79863657,-2063265.99473972,0,0,1
"104","692",0,0,0,0,0,1,1112089.46152535,-2063481.02003155,0,0,-1
"105","693",0,1,0,0,0,2,1114829.88919142,-2063488.40034353,0,1,-2
"106","694",0,0,0,0,0,0,1127868.37338324,-2064032.92577329,0,0,0
"107","695",0,0,0,0,0,0,1125808.06260543,-2063970.08297783,0,0,0
"108","698",0,0,0,0,0,0,1128842.70069054,-2064161.11790485,0,0,0
"109","699",0,3,2,0,0,0,1105576.32079888,-2063514.58686466,0,3,2
"110","700",0,1,0,0,5,1,1121466.70095744,-2064102.74635199,0,-4,-1
"111","705",0,2,0,0,2,3,1113763.13385248,-2064045.62760521,0,0,-3
